Label;Text
True;fiyati yuksek kalite orta
False;çok memnun kalmadık zor içine giriyor çıkıyor
True;işe yatıyor düzenli kullanımda ama çok küçük çok üzüldüm bi puanı ondan kırdım
False;düşük kalite, yüksek fiyat. değmez
False;ürün orjinal değil saçma sapan bir poşete konularak gönderilmiş
False;almayın hiç bir faydası yok 1 aydır kullanıyorum sadece kaşıntı başka bir değişim yok
True;harika kendi bedeninizi alabilirsiniz fiyat performans çok iyi
False;daha önce lacivertinin s bedenini almıştım kalıbını duruşunu çok beğendiğim için bu ikili paketi de aldım fakat kalıpları asla aynı değil kalçanızdan zor geçiyor belinize tam oluyor duruşu da lacivert kadar güzel değil ama yinede iade etmeyeceğim kullanacağım
True;o kadar güzel ki bayılıyorum💙 kumaşı kesimi duruşu mükemmel! lastik kısmı biraz sıkı beliniz ince değilse 1 beden büyük alırsanız daha iyi olur yoksa ortadan sıkılmış diş macunu gibi görünebilirsiniz
False;e etek ne de şort, kalıbı hatalı gibi duruyor giyince, iç gösteriyor ve kumaşını sevemedim. fiyat kalite performans dengesi sıfır. mecbur iade
False;ne etek ne de şort, kalıbı hatalı gibi duruyor giyince, iç gösteriyor ve kumaşını sevemedim. fiyat kalite performans dengesi sıfır. mecbur iade
True;kumaşı terletiyor durusu güzel ama kumaşını sevemedim
False;hayal kırıklığı o kadar kötü ki çok şaşırdım . kendi bedenimi almama rağmen oldukça bol ve pot du maalesef iade
True;eh yaniii sert bi kot
True;aşırı kaliteli bi pantolon bedenimi aldım tam oldu sert bi jeans ama böyle daha tok duruyor bence bayıldım!
True;tam beklediğim gibi çok kaliteli ve şık bir ürün tam bedeninizi alın..
False;doğru kullanmamıza rağmen her yeri paslandı. tavsiye etmiyorum
False;75 db ses ile çalışıyor
True;çok memnunum. mükemmel utuluyor.  dışarıdaki fiyatlardan daha uygun aldim.  kağıt gibi saniyesinde ütüleme yapıyor.  ne bastiriyorum  ve defalarca üstünden geçiyorum.  tek kelimeyle mukemmellll..
True;çok güzeller satıcıya teşekkürler güzel paketlenmişti sapasağlam ulaştılar elime
True;görseller yanıltıyor açıklamayı okuyun. 1 büyük dikdörtgen 1 küçük dikdörtgen geldi.
False;bu ürünün neden bu kadar abartıldığını anlamıyorum. hiç kapatmıyor ve çok yağlı his bırakıyor. açık rengini aldim ama yine de çok koyu geldi
False;ne etek ne de şort, kalıbı hatalı gibi duruyor giyince, iç gösteriyor ve kumaşını sevemedim. fiyat kalite performans dengesi sıfır. mecbur iade
True;müthiş bir ürün. pahalı ama dayanıklı.
True;75 db ses ile çalışıyor
False;çokkkk kötü sanırım sahtesi
True;uzun zamandır kullanıyorum bence en iyisi
True;kesinlikle mükemmel. başka makyaj temizleme ürünü kullanamıyorum.
True;kaliteli ofisime alıyorum hep
True;iş görür fena değil
True;ürün çok ıslak değil.çabuk tüketilmesse kurur.beğenmedim
True;10 tam puan😀
True;abartıldığı kadar harika sonuçlar vermiyor
True;kalitesine bayıldım çok güzel herkese tavsiye ederim
True;ürüne su geldi resmen pas akıtıyor
True;ürünü begendim beklentimi karsiladi tavsiye edilir
True;vazelin gibi, fayda görmedim malesef. satın aldım a çok pişmanım.
True;tartışmasız çok güzel bir ürün, özellikle karma ciltler için.
True;herkes kendi bedenini almali
True;fena degil kollari vatkasi hosuma gitmedi
True;çok iyi guzel kahve yapiyor beklentimi karsiladi
True;kesinlikle tavsiye ediyorum ben aldım menmun kaldım arkadaşımada aldım
True;kesinlikle tavsiye ediyorum ben aldım menmun kaldım arkadaşımada aldım
True;tasarım harikası🌸 yüksek fiyatına rağmen kalitesi ve şıklığıyla fazlasıyla göz dolduruyo
True;tam bir fiyat performans ürünü. saçlarım kalın telli, çok ve uzun olmasına rağmen 15 dakikada düzleştirebildim. tavsiye ederim
True;tam bir fiyat performans ürünü. saçlarım kalın telli, çok ve uzun olmasına rağmen 15 dakikada düzleştirebildim. tavsiye ederim.
True;ürün çok güzel ve zamanında geldi. tavsiye ederim
False;çok beğenmedim ürünü bağlantı sorunu yaşadım. ses seviyesi çok düşük
False;huawei kalitesine hiç yakıştıramadığın kulağı acıtan kulaktan durmayan(bütün silikon başlıkları denedim) bir kulaklık
True;ses seviyesi fazla yüksek değil
True;ürün çok güzel ve kullanışlı.kaliteli markalardan daha sessiz çalışıyor.
False;ben etkisini göremedim. iki şişe kullandım. sanırım bir daha almam.
True;cok övüldüğü için aldım
True;güzel ve kullanışlı ürün teşekkürler
False;sevmedim bel kısmı sıkı üst kısmı geniş kalitesi de çok iyi değil verebilir
True;kumaşı berbat , metallerin rengi kararmış asla almayın
True;cok kaliteli ürün
True;ürün resimdeki gibi geldi, güzel ve kullanışlı
True;ürün resimdeki gibi geldi, güzel ve kullanışlı
True;sürekli kullanıyorum
True;çok iyi bir parça kumaş kalitesi mükemmel çok memnunum kesinlikle alın derim...
True;kumaşı çok güzel çok kaliteli duruyor
True;fırçayla fön çekmiş gibi oluyor saçı öyle aşırı bir etkisi yok açıkçası.saçım düz olmasına rağmen orta derecede memnunum
True;bu fiyata gayet iyi ıslak ve kuru saçla da denedim gayet güzel oldu benim saçlarım uzun ve kalın olmasına rağmen işe yaradı sadece çabuk ısınıyor biraz
True;etkisini birkaç kullanımda bile gördüm, çok memnunum. her kuruşunu hak eden bir ürün.
False;yüzüm sivilce kustu. benim cildime hiç yaramadı. çöp oldu…
True;bu ürünü cok seviyorum her seferinde alıyorum sivilce vs yasamadım cildim karma. cok hızlı kargo ve güzel paketleme
True;ürün güzel fakat kesinlikle tam kalıp
True;terliğin kalitesi ve rahatlığı çok iyi, çok beğendim ayrıca hedlyeniz içinde çok teşekkür ederim
True;çok iyi parlatıyor kalitesi de çok iyi
True;urunum gayet saglam sekilde elime ulasti kaliteli ve saglam tavsiye ederim
True;kaliteli guzel urun
True;tavsiye üzerine aldım fena değil günlük kullanılır
True;çok güzel kokuyo fresh bir koku ve kalıcı gerçekten
True;kokusuna ve tüm gün kalıcı olmasına bayıldım 🥰
True;çok güzel yumuşacık yok gibi kesinlikle tavsiye ediyorum desteği de yeterli derecede :)
False;kalitesinden çok memnun kalmadım, dikişleri pek iyi değildi
True;hem rahat hem toparlayıcı sıkı bir tayt ben çok beğendim
True;kokusu çok hoş kullanıyorum baya saç dökülmem azaldı
True;bu urun benim her seyim kokusuna her seyine bayiliyorum bu olmadan bir hayat dusunemiyorum
True;çok severek kullanıyorum anında beyazlık sağlıyor
True;gözeneklerime çok iyi geliyor hangi sitede ucuza bulursam ordan alıyorum hep. başarılı ürün.
True;gayet pratik ve kullanışlı...
True;ürün çok güzel tavsiye ederim çok pratik sil bırak iz kalmıyor
True;çeyizim için aldım harika alın aldırın :)
True;mükemmel kalip kullanışlı çeyiz icin
True;kaç aydır kullanıyoruz gayet güzel ürün
True;çok kullanışlı ve fırçası yumuşak
True;biraz sert ve simli çok bayılmadım ama kullanmaya çalışıyorum
True;güzel tüy topluyor satıcıya da teşekkür ediyorum
True;ses kalitesi çok iyi, tavsiye ediyorum kesinlikle. hızlı teslimat ve hediyeniz için de ayrıca teşekkür ederim 🤩
True;saçlarım parlak ve canlı duruyor hızlı teslimat için teşekküller
True;kaliteli bez
True;ürün çok güzel herkese tavsiye ederim özellikle ambalajlı tertemiz teslim aldım çok hoşuma gitti tekrar
True;güzel temizliyor begendim. harika paketlenmisti saticiya tesekkurler.
True;ürün gayet güzel doğru ölçüm yapıyor tavsiye ederim
True;ürün çok güzel çok memnun kaldım kokusu da çok hafif 👍🏻
True;ürünü çok beğendim. şık ve güzel görünüyor. özellik bakımından yeterli
True;kargo paketleme güzel zarar görmeden geldi. ürün çalışıyor. tek sıkıntısı biraz ağır. onun dışında çok güzel
True;parasına göre gayet başarılı
True;tablet o kadar kaliteli ki düşünmeden alın
True;çok güzell yazılımı var renkler macro ayarları ve 9 tuş ürün efsane hiç düşün neden alın derim:)
False;güzel,korunaklı kargolandı ama ürün biraz basit duruyor,arkaya doğru çok fazla esnedigi için kırılacakmıs gibi geliyor.
True;harika bir ürün baska marka denemedik ama bir erkek olarak kek yapmak harika
True;çok beğendim tasarım güzel paketleme iyi kargo hızlı ürün harika
True;beklediğimden güzel görünüyor haznesi baya büyük ilk olarak patlıcan közledik sonuç mükemmel. wifi bağlantısı çok iyi çalışıyor.
False;biraz dandik gibi görünüyor elimde kalacak diye korktum  üst kapağıni açtım bir dahs kapatmaya çalışırken tam kapanmadi ağzı havada kaldı
True;sorunsuz elime ulaştı kahvesi bir harika iyiki bu markayı seçmişim ilk közde kahve yaptım tadı harika
True;tam bir fiyat performans ürünü ciddi anlamda memnunum cay yapmasi malzeme kalitesi ic ekipmanlari herşeyi çok yeterli 6 aydir kullanıyorum henuz bir problem gormedim kesinlikle tavsiye ederim
True;çok kaliteli bir ürün fazlasıyla memnunuz ve severek kullanmaya devam ediyoruz, çok geç soğuyor ve kullanırken kalitesi kendini belli ediyor
True;çok iyi hemen ısınıyor ,saçlarım pürüzsüz dümdüz oldu. sipariş verdiğim ertesi günü hemen elime ulaştı
True;kesinlikle alınmalı  iyi ki de aldım ilk kullanımda kesinlikle farkı hissediyorsunuz cildinizde bir nefes alma hissi aşırı güzel çok tşk ederim bayıldım🙏🙏
True;harika bir ürün 👍🏻
True;çok iyi beğenerek kullanıyorum 2-3 kişi için ideal
True;çatlaklarımı azalttı ve selülitlerime çok iyi geldi memnun kaldım
True;çok kaliteli bir mont yalnız bir beden küçüğünü alın kalıbı baya büyük
True;beklediğim kadar değil anlık beyazlama sağlıyor düzenli kullanımda da komple geçmiyor
True;aşırı güzel çok severek giyiyorum
True;satici soz verdiği tarihte kargoladi urun sapasaglam bir şekilde geldi cok kaliteli cok memnun kaldim teşekkür ediyorum
False;m. bazen ürün çok iyi fakat satıcı işe yaramazsa ürünün kalitesinin de kıymeti kalmıyor. çünkü yolda deforme oluyor yani satıcı bazen 1 tık öne geçiyor teşekkürler
True;ev için çok ideal, bir adet foto denemesi yaptım oda iyiydi fiyat performans olarak süper
True;harika,net ses ve kuvvetli bas verirken kulağa mükemmel şekilde oturur,çok beğendim,tavsiye ederim,teşekkürler
True;rün çok kullanışlı bayıldım, internet bağlantı hızınıza göre kullanım farklı gelebilir ama görüntü kalitesi net, ses iyi.. fiyatını hakediyor. kargo temiz ve sağlam geldi. teşekkürler
True;çok rahat ve şık bir ayakkabı. bu markayı mutlaka deneyin a dostlar
False;bahsettikleri ile alakası asla fiyatını haketmeyen bir ürün bakkaldaki normal bir diş macunu ile hiç bir farkı yok kesinlikle tavsiye etmiyorum
False;bu kadar güzel yorum görünce 2 tane almıştım ama hiç beğenmedik daha birincisini bile kullanamadım. diş eti kanaması yaşıyordum daha da fazla olmaya başladı. kokusunu da sevmedim.
True;ürün mükemmel eğer kahve tiryakisi ve sütlü kahveleri beğeniyosanız muhakkak alın. kahveleri sıcak çıkarıyor ılık diyenlere aldanmayın.
True;neden daha önce almamışım dediğim bir ürün oldu süpürmesi o kadar kolay. satıcıya da sonsuz teşekkürler her soruma sabırla cevap verdiği için. çok pahalısını almayın arkadaşlar inanın işinizi görür bu makine
False;ayak pedal kısmındaki demir kırıldı.insan sağlığını tehlikeye atıyorsunuz.başka söze gerek yok
False;paranızı çöpe atmak istemiyorsanız bu ürünü almayın aldırmayın. 2 ay sonunda kullanılmayacak bir durumda kayış kalitesiz . ürün parçaları eksik geldi.
True;bebeğimizin en çok vakit geçirdiği yer. bu zamana kadar bebeğimiz için yaptığımız ücretini sonuna kadar hakeden ürün bu oldu. üzerinde vakit geçirmekten çok mutlu kendini hareket ettirmekten de çok keyif alıyor
False;tok tuttuğunu ve zayıflatmaya yardımcı olduğunu kesinlikle düşünmüyorum. reçel gibi yedim resmen . sadece bağırsakları çalıştırıyor o da çok fazla değil
True;indirimdeyken almıştım çok memnun kaldım
False;iki kutu kullandım ve hiç faydasını görmedim. sadece biraz kilo aldım
True;çok memnun kaldım. gece kullanım için ideal. çıkarma ihtiyacı hissettirmiyor.
True;kaliteli oldukca güzel paketleme
True;çok güzel ışık veriyor çok memnunum.. yemek masalarımın en şık aksesuarı
False;başlığın lacivert olduğu belirtilmemiş gri gibi duruyodu gri diye aldım kot deseni lacivert çıktı hiç beğenmedim keşke daha detaylı anlatılsa ürün bizde iadeyle uğraşmasak üstelik mesajlarada dönüş yapılmıyo
True;geniş ve kullanışlı kalitesi de iyi. ayrıca hızlı kargo için teşekkürler.
True;geniş ve kullanışlı, beğendim.
True;ürün ilk elime ulaştığında bataryasında problem vardı , müşteri temsilcileri sağolsunlar çok ilgilendiler hemen ürün değişimi yapıldı. bilgisayarımı kurdum. ve çok memnunum. hepsiburada kalitesinden şaşmam. herkese tavsiye ederim.
True;ürünün öne çıkan özelliği soğutması bence onun dışında fiyat performans olarak güzel buldum
True;gerçekten harika bi bilgisayar tam beklediğim sekilde fiyat performans olarak tam yerinde tavsiye ederim
True;super
True;ürün çok çabuk elimize ulaştı şaşırdık doğrusu cumartesi öğleden sonra verdik pazartesi sabah elimizdeydi .sorunsuz geldi . kargolama iyiydi.kurulumunu yaptık şimdilik memnun kaldık.
True;tartışmasız casper kalitesi en iyisi olup iyi ki aldım. alın ve ömür boyu arkanıza bakmayın
False;ayağım 40 olmasına rağmen 41 sipariş ettim dar kalıp biliyorum çünkü.  ama 41 bile kangren etti, iade ettim. giydikçe rahatlasip yumuşar ama o zamana kadar yara olur ayaklar.
False;anlarinda kanca görünüyor ama benimkinde kanca yok o yuzden 1 yıldız
False;farklı ürün gönderildi
False;eşime aldım fakat hiç memnun kalmadı hiç rahat değil iki çift birbirinden kalıp olarak farklı, aldığımıza çok pişmanız
False;eşime aldım ancak giyemiyor çünkü sürekli ayağını yara yapıyor daha önceki botu da cat markasiydi ancak bu bot pek mutlu etmedi, hatta orijinal degilmi demeye başladı.
False;ürün kaliteli fakat bana gelen ürünün sağ ayağı kusurluydu kullanilmis gibiydi değişim talebinde bulundum bakalim.
False;bot üzerinde derin iz ve lekeler var.  iade ediyorum.
False;cat in en kalitesiz ürünü olsa gerek
False;bence orijinal değildi
False;kalıbı çok büyük, hiç beğenmedik iade ettik
False;çakma yerli üretim
False;sağ ve sol teki farklı numaralar geldi iade ettim
False;berbat cat kalitesi yok
False;ürün hemen çökme yaptı
False;hasarlı ve giyilmiş ayakkabı gönderdiler zaman kaybı.
False;%100 şu geçirmez garantili ürün değil bilginiz olsun üstünde waterproof ibaresi olmayan ürünlerin hiçbiri şu geçirmez garantisi vermez kesinlikle israf paranız heba olur
True;hiç rahat değil
False;çok kötü orıjınal gıbı durmuyor,
False;çakma ürün
False;am numaranız neyse onu almanız gerekiyor , yorumlara bakarak bir numara küçük aldım ve olmadı
False;botlar yağmurda su geçiriyor. açıklamada yazan su geçirmez ibaresine inanmayın
False;41 numara ile degisim istemek adina talep olusturup kargoladim fakat iade kabul ettiler. satici 👎
False;ürün defolu geldi. cat markasına hiç yakışmadı.
False;çok kötü
False;alabileceğiniz en rahatsız edici ayakkabı yemin ediyorum
False;berbat taban yapıştırması kartondan keçenin altındaki yer
True;fena değil
False;telefon istediğim gibi çıkmadı iade etmek istiyorum
False;satıcı telefon kılıfı göndermedi
False;kullanımı zor bir tlfon tavsiye etmem
False;ürünün sıkıntısı hiç bitmiyor hiç bir uygulama doğru düzgün çalışmıyor ekran kapalı iken hic bir uygulamadan bildirim gelmiyor
False;google uygulamaları yok, bu büyük bir sorun, gspace programını kullanarak bazı uygulamalara erişim program içinden gerçekleştiriliyor, programı açmadan uygulamaları kullanamıyorsunuz.
False;berbat telefon.ben de huawei mate 20lite vardi.harikaydı.ama bu google servislerinin doğru düzgün çalışmıyor.tmm herşey bir şeklide indiriliyor fakat ya yavaş yavaş ya da tekrar yükleyin falan gibi msjlarvgeliyor. var güzel. ama değer mi değmemiş.
False;kamerası arızalı geldi,donuyor,geçişleri 10 saniye sürüyor,ürün için iade talebi oluşturdum, umarım sıkıntı yaşamadan iade edebilirim...
False;telefon elimde dururken bir 5 dk a ısınıyor.sarj alırken isiniyor
False;satıcı sattığı urunun arkasinda durmuyor. ayıplı ürün olmasina rağmen çözüm üretmek yerine gecistirici davranıyor
False;ürünun on kamerasi mor efektli gibi cekmeye başladı dusme darbe herhangi bi olay olmadi ama birden on kamera morumsu pembemsi cekmeye basladi
False;begenmedim
False;iyi hoşda çok ağır
False;merhaba. öncelikle 1 yıldız vermemin sebebi aslnda ayıplı ürün olduğunu bildirmek.
False;ürünü yaklaşık 1 senedir kullanıyorum. özellikle tüm yorumları okuyarak satın aldım. ama hayal kırıklığına uğradığım özellikleri oldu.
False;telefonun ekranıyla kasası arasında kenarlarda boşluk var ve buralardan ışık çıkıyor. ayrıca ekrana dokunduğunuzda ekran yerinden oynuyor ve ses çıkarıyor. gerçekten mağdur oldum.
False;telefonun ahizesinden cok az ses geliyor  ve hoparloru de en yuksek seste cızirti yapiyor  hepsiburadanin kendisinden satin aldim sirf  bu sorunlari yasadigimda  guvenle degistirebileyim diye
False;arızalı telefon geldi...
False;burdan  aldigim yine  bir  iphone  hatasi telefon  kurulum  yapilirken  isiniyor  telefonda  konusma  yapin  on  dkika  isiniyor  sarjdayken  asiri  isiniyor
False;ürünün sağ üst köşesi saat kadrajının üstü ve altında ölü pixel? var. ekran bozukluğu nedeniyle iade yapıyorum. umarım beni mağdur etmezler
False;ürünü aldım 2 ay sonra ön hopörler arızası çıktı.
False;telefonun ekranında leke vardı iade kabul etmeyeceklerini bildiğim için uğraşmak istemedim
False;cihaz aciklamasinda belirtildigi gibi gelmedi. ıade talep ettim.
False;gelen urunun ahizesi calismiyordu. hepsi burada beni magdur etmedi ve iade yaptim.
False;o kadar para verip sıfır diye alıyoruz ama telefon daha önce kullanılmış çıkıyor.
False;kullanılmış paketi açılmış ürün gönderiyor hepsbibuarada,sanki appleın kutusunu jelatinini bilmiyoruz
False;ürün daha önceden kutusu açılmış  temizlenmiş sonradan kutuya orijinal olmayan bir jelatinli gönderdiler  telefon orijinal kullanılmamış ama daha önceden kutusu açılmış olması rahatsız ediyorum dici
False;telefonun kutusu ezik geldi ve arka tarafıyla kasası arasında açıklık var.
False;batarya yı günde ikikez şarj etmek zorunda kalıyorum tavsiye etmiyorum
False;ürün hiç. açılmadı  gerçekten yazık ya satıcı da hiç ilgilenmedi değişim istedim kaale bile almadılar
False;ürünümün kamerası bozuk geldi , değişim tercihinde bulunmama rağmen direk paramı iade edildi.
False;ürünü 1 aydır kullanıyorum. parlaklık fullde olduğu zaman ekranın alt kısmı ana menüde olsam bile çok ısınıyor.
False;ekran sapsarı kesinlikle almayın rezalet resmen
False;ürün arka camından hasarlı geldi suriye’de görevde olduğum için üstüne düşüp iadesini yapamadım
False;aldığım telefon arızalı çıktı kamerası insanı hayalet gibi gösteriyor konuşma yaparken kendi kendine kapanıp açılıyor servise göndermek zorunda kaldım
False;aşırı şarj gidiyo daha 2. gün ve cihaz ısınıyor müzik dinlemeyle (3 saatte %40/45 ) arası şarj gitti ürün yenilenmiş gönderiyolar
False;ilk gelen ürün maalesefki ikinci eldi sanırım. değişim yapmak zorunda kaldım.
False;telefonun ekranı çizik geldi, iade etmek zorundayım
False;arkadaşlar 10k üzerinden aldığım telefona üstüne birde kargo ücreti ödedim fark etmedim etseydim iade edeceektim ama iş işten geçti kesinlikle almayın.
False;arızalı geldi 2 kez.
True;telefonun kutusu ezik geldi ve arka tarafıyla kasası arasında açıklık var.
False;iphone işte parası olan alsın
False;marka ya verilen paradır. gerisi bos
False;fiyatına göre bir ürün değil
False;paketleme ve kargo çok kötü ve özensiz telefon kırılmaya darbeye vb. şeylere müsait
False;ürün bozuk geldi iade ediyorum satıcının bilgisine.
False;satıcı berbat
False;ürünün 1 gün geçtikten sonra arızalı olduğunu fark ettim, apple servisi 1 hafta süre istedi, benim için android’den geçiş sonrası büyük hayal kırıklığı oldu iphone
False;ölü piksel vardı geri iade edildi.
False;satıcı berbat
False;kotu
False;pil sıcak iyi değil
False;ürün bozuk geldi sarj soketi bozuk şarj almıyor
False;face ıd çalışmıyor ve iade edeceğim
True;keşke daha önce alsaydım. çabuk geldi. indirime girdikçe alacağım.
True;fiyatı düştükçe stok yaptığım bir ürün
True;dı gayet iyi 1 kutu bitirince yorum yapmak istedim gayet etkili bir çay ödem atmada çok yardımcı oldu yeme isteğinizde azalıyor bayıldım
False;hiçbir faydasını görmedim bazı kullanıcılar ilk kullanımdan itibaren etkisini gördük demiş ilk kullanımda mucizeler beklemiyordum zaten ama ne bir ödem atılması ne bi şişkinlik problemi hiçbirine etkisi olmadı. aromalı bitki çayı niyetine bir kutu bitirdim. bi daha alır mıyım. hayır
True;ses kalitesi gayet iyi, mikrofonla görüşmede de hiçbir sorun yaşamadım. online derste kullandım, orada da iyiydi. bağlanma hızı süper.
False;hepsiburada'dan aldım, ithalatçı garantili geldi. kulakta kaba duruyor.
True;ben aldim sizde guvenerek alabilirsiniz ses kalitesi vb cok gusel ve merak edenler icin ürün orjinal
True;ben çok beğendim şimdilik hiçbir sorunu yok üç gündür kullanıyorum henüz
True;sarjinin çok dayanıklı oldgunu söyleyemem iki güne bir şarj ediyorum ama  çok kullanıyorum onun dışında mükemmel. bir ürün teşekkürler
True;ses seviyesi biraz düşük ama gerisi mukemmel
True;çok çok güzel bir cihaz. kendi küçük ama ses kalitesi çok iyi. yani gümbür gümbür ses var. aldığım için çok mutluyum. içeride dışarı da rahatlıkla kullanılabilir. şarj iyi 4-5 saat tek şarj da dinleyebilirsiniz.
True;çevremde köpük yapmadığını söyleyenler olmuştu yanıldıklarını rahatlıkla söyleyebilirim. içindeki ölçü kaşığı ile konulduğunda gayet köpüklü oluyor.
True;güzel bir ürün ben beğenerek kullanıyorum köpüğü lezzeti yerinde bir yıldız kırma sebebi ise bittiğinde uyarı sesi az ve melodili değil başında değilseniz anlık, bittiğini duyamıyorsunuz bu durumu sevmedim
True;ürünü beğendik. sütü güzel ısıtıyor. taşma yapışma yok. közde kahve keyifli, köpüklü. satıcı ürünü kalınca karton kutuyla paketlemiş. hızlı teslimat.
True;iyi ki almışım. çok memnun kaldım. eşim bile artık mükemmel kahveler yapabiliyor☺️
True;orginal kutusunda bir günde geldi. kapasite olarak iki kişi için yeterli. smart özelliği telefondan kontrol ve tarifler artı bence sırf o yüzden satın aldım diyebilirim şık duruyor keşke siyah renk opsiyonu da olsaymış ama beyazda kötü durmuyor köfte, patates, balık, muffin denedim gayet başarılı taysiye ederim kesinlikle
True;gelir gelmez tavuk kanat denedik, gerçekten dışarıda yediğimiz gibiydi. fırında bu sonuçları alamıyoruz. hızlı, minimum koku, sessiz, teknolojik ve güzel tasarımlı.  tavuklar 25 dkda bı hale geldi 👌🏻
True;bu fiyata gerçekten çok iyi bir telefon almayı düşünen varsa hiç tereddüt etmeden alsın. kargo ve paketleme de sorunsuz 1 günde teslim aldım
True;yıllardır oppo kullanıyoruz . çok iyi cihazları var . fiyat aralığına göre 128 gb lık güzel bir modeli . tavsiye ederim. teşekkürler hepsiburada ailesi ...
True;çok beğendik hızlı geldi kargo korunaklıydı telefon gayet güzel pahalı telefonlara hiç gerek yok gayet iş görür
True;bu fiyata yeterli ve fazlası var. oğluma aldım. sıkıntı yok. günümüzde beş altı bin olan karşılaştırma yapmak biraz abes olur. pahalı telefonu alo için kullanan kişiler elindeki telefonun bir çok özelliğine vakıf bile değildir. dediğim gibi aldım pişman değilim. teşekkürler.
